sku,name,price,stock_count,is_active
SKU3000,Men's T-Shirt,19.99,150,True
SKU3001,Women's Jeans,39.99,120,True
SKU3002,Men's Sneakers,59.99,80,True
SKU3003,Women's Handbag,79.99,60,True
SKU3004,Unisex Hoodie,49.99,90,True
SKU3005,Men's Leather Jacket,129.99,30,True
SKU3006,Women's Dress,69.99,70,True
SKU3007,Baseball Cap,14.99,200,True
SKU3008,Sunglasses,24.99,140,True
SKU3009,Men's Watch,89.99,60,True
SKU3010,Women's Watch,99.99,55,True
SKU3011,Men's Formal Shoes,75.99,40,True
SKU3012,Women's Heels,85.99,45,True
SKU3013,Belt,19.5,120,True
SKU3014,Socks (5-Pack),12.99,180,True
SKU3015,Men's Shorts,29.99,100,True
SKU3016,Women's Blouse,34.99,85,True
SKU3017,Scarf,14.5,130,True
SKU3018,Winter Gloves,19.99,75,True
SKU3019,Men's Suit,249.0,25,False
