sku,name,price,stock_count,is_active
SKU1000,Apples (1kg),2.49,120,true
SKU1001,Bananas (1kg),1.99,180,true
SKU1002,Tomatoes (1kg),3.25,150,true
SKU1003,Onions (1kg),2.10,200,true
SKU1004,Potatoes (2kg),3.80,250,true
SKU1005,Carrots (1kg),2.20,130,true
SKU1006,Cabbage,1.75,90,true
SKU1007,Spinach Bunch,1.50,110,true
SKU1008,Broccoli,2.95,85,true
SKU1009,Garlic (250g),1.80,70,true
SKU1010,Ginger (250g),1.60,60,true
SKU1011,Oranges (1kg),3.10,140,true
SKU1012,Lemons (1kg),2.50,100,true
SKU1013,Pineapple,4.25,50,true
SKU1014,Mango,2.85,60,true
SKU1015,Avocado,1.99,75,true
SKU1016,Whole Milk (1L),1.20,200,true
SKU1017,Fresh Cream (500ml),2.40,80,true
SKU1018,Cheddar Cheese (200g),3.50,90,true
SKU1019,Butter (250g),2.70,100,true
SKU1020,Eggs (Dozen),3.80,120,true
SKU1021,White Bread (Loaf),1.50,160,true
SKU1022,Brown Bread (Loaf),1.60,140,true
SKU1023,Rice (5kg),10.50,75,true
SKU1024,Flour (2kg),5.20,90,true
SKU1025,Cooking Oil (2L),7.80,65,true
SKU1026,Sugar (2kg),4.90,100,true
SKU1027,Salt (1kg),1.20,150,true
SKU1028,Tea Bags (100s),5.75,80,true
SKU1029,Coffee (250g),6.20,70,true
SKU1030,Baked Beans (410g),1.80,90,true
SKU1031,Tinned Tuna (170g),2.20,60,true
SKU1032,Pasta (500g),2.00,100,true
SKU1033,Spaghetti (500g),2.10,100,true
SKU1034,Biscuits (200g),2.50,85,true
SKU1035,Corn Flakes (500g),4.20,75,true
SKU1036,Oats (1kg),3.90,95,true
SKU1037,Tomato Sauce (750ml),3.30,120,true
SKU1038,Mayonnaise (750ml),4.10,80,true
SKU1039,Peanut Butter (400g),3.70,110,true
SKU1040,Jam (450g),3.50,90,true
SKU1041,Laundry Soap Bar,2.00,140,true
SKU1042,Toilet Paper (4 pack),3.80,100,true
SKU1043,Bleach (1L),3.20,70,true
SKU1044,Toothpaste (100ml),2.30,85,true
SKU1045,Bath Soap,1.50,130,true
SKU1046,Cooking Spices Mix (100g),2.80,90,true
SKU1047,Detergent Powder (1kg),4.90,100,true
SKU1048,Bottled Water (1.5L),1.10,200,true
SKU1049,Soft Drink (500ml),1.80,180,true
